"document","term","count","flag","ID","Support.Group","Store","Classification","Assigned.To","Priority","Reopened","Location","Created.Date","Resolved.Date","Created.Week","Created.Week2","Created.Month"
"IR1","frozen",1,1,"IR1","Help Desk","Lamar","Permission Request","Diego","P2","Yes","MAV",2016-08-08,2016-08-15,2016-08-08,2016-08-07,2016-08-01
"IR1","lane",1,1,"IR1","Help Desk","Lamar","Permission Request","Diego","P2","Yes","MAV",2016-08-08,2016-08-15,2016-08-08,2016-08-07,2016-08-01
"IR1","loading",1,1,"IR1","Help Desk","Lamar","Permission Request","Diego","P2","Yes","MAV",2016-08-08,2016-08-15,2016-08-08,2016-08-07,2016-08-01
"IR1","r10",1,1,"IR1","Help Desk","Lamar","Permission Request","Diego","P2","Yes","MAV",2016-08-08,2016-08-15,2016-08-08,2016-08-07,2016-08-01
"IR1","screen",1,1,"IR1","Help Desk","Lamar","Permission Request","Diego","P2","Yes","MAV",2016-08-08,2016-08-15,2016-08-08,2016-08-07,2016-08-01
"IR1","stuck",1,1,"IR1","Help Desk","Lamar","Permission Request","Diego","P2","Yes","MAV",2016-08-08,2016-08-15,2016-08-08,2016-08-07,2016-08-01
"IR2","cash",1,1,"IR2","Retail Support","Wells Branch","Scale Broken","Frank","P3","No","WSP",2017-02-05,2017-02-15,2017-01-29,2017-02-04,2017-02-01
"IR2","register",1,1,"IR2","Retail Support","Wells Branch","Scale Broken","Frank","P3","No","WSP",2017-02-05,2017-02-15,2017-01-29,2017-02-04,2017-02-01
"IR2","working",1,1,"IR2","Retail Support","Wells Branch","Scale Broken","Frank","P3","No","WSP",2017-02-05,2017-02-15,2017-01-29,2017-02-04,2017-02-01
"IR3","lane",2,1,"IR3","Retail Payments","Lamar","Tax Issue","Kelly","P4","No","BRL",2016-07-05,2016-07-08,2016-07-04,2016-07-03,2016-07-01
"IR3","thingerjig",1,1,"IR3","Retail Payments","Lamar","Tax Issue","Kelly","P4","No","BRL",2016-07-05,2016-07-08,2016-07-04,2016-07-03,2016-07-01
"IR3","won",1,1,"IR3","Retail Payments","Lamar","Tax Issue","Kelly","P4","No","BRL",2016-07-05,2016-07-08,2016-07-04,2016-07-03,2016-07-01
"IR4","apple",1,1,"IR4","Retail Payments","Hyde Park","Tax Issue","Joy","P2","No","ORT",2016-11-02,2016-11-02,2016-10-31,2016-10-30,2016-11-01
"IR4","pay",1,1,"IR4","Retail Payments","Hyde Park","Tax Issue","Joy","P2","No","ORT",2016-11-02,2016-11-02,2016-10-31,2016-10-30,2016-11-01
"IR4","working",1,1,"IR4","Retail Payments","Hyde Park","Tax Issue","Joy","P2","No","ORT",2016-11-02,2016-11-02,2016-10-31,2016-10-30,2016-11-01
"IR5","accept",1,1,"IR5","Help Desk","Downtown","Permission Request","Bob","P1","No","NLB",2016-10-29,2016-10-31,2016-10-24,2016-10-23,2016-10-01
"IR5","apple",1,1,"IR5","Help Desk","Downtown","Permission Request","Bob","P1","No","NLB",2016-10-29,2016-10-31,2016-10-24,2016-10-23,2016-10-01
"IR5","card",1,1,"IR5","Help Desk","Downtown","Permission Request","Bob","P1","No","NLB",2016-10-29,2016-10-31,2016-10-24,2016-10-23,2016-10-01
"IR5","credit",1,1,"IR5","Help Desk","Downtown","Permission Request","Bob","P1","No","NLB",2016-10-29,2016-10-31,2016-10-24,2016-10-23,2016-10-01
"IR5","pay",1,1,"IR5","Help Desk","Downtown","Permission Request","Bob","P1","No","NLB",2016-10-29,2016-10-31,2016-10-24,2016-10-23,2016-10-01
"IR5","register",1,1,"IR5","Help Desk","Downtown","Permission Request","Bob","P1","No","NLB",2016-10-29,2016-10-31,2016-10-24,2016-10-23,2016-10-01
"IR5","won",1,1,"IR5","Help Desk","Downtown","Permission Request","Bob","P1","No","NLB",2016-10-29,2016-10-31,2016-10-24,2016-10-23,2016-10-01
"IR6","coupon",1,1,"IR6","Help Desk","Wells Branch","Email","Diego","P2","No","GWS",2017-02-28,2017-03-04,2017-02-26,2017-02-25,2017-02-01
"IR6","freezing",1,1,"IR6","Help Desk","Wells Branch","Email","Diego","P2","No","GWS",2017-02-28,2017-03-04,2017-02-26,2017-02-25,2017-02-01
"IR6","keeps",1,1,"IR6","Help Desk","Wells Branch","Email","Diego","P2","No","GWS",2017-02-28,2017-03-04,2017-02-26,2017-02-25,2017-02-01
"IR6","lane",1,1,"IR6","Help Desk","Wells Branch","Email","Diego","P2","No","GWS",2017-02-28,2017-03-04,2017-02-26,2017-02-25,2017-02-01
"IR6","try",1,1,"IR6","Help Desk","Wells Branch","Email","Diego","P2","No","GWS",2017-02-28,2017-03-04,2017-02-26,2017-02-25,2017-02-01
"IR6","use",1,1,"IR6","Help Desk","Wells Branch","Email","Diego","P2","No","GWS",2017-02-28,2017-03-04,2017-02-26,2017-02-25,2017-02-01
"IR7","broken",1,1,"IR7","Retail Payments","Downtown","Credit Card Issue","Joy","P2","No","MAD",2016-06-30,2016-07-10,2016-06-27,2016-06-26,2016-06-01
"IR7","scale",1,1,"IR7","Retail Payments","Downtown","Credit Card Issue","Joy","P2","No","MAD",2016-06-30,2016-07-10,2016-06-27,2016-06-26,2016-06-01
"IR8","beauty",1,1,"IR8","Retail Support","Lamar","Other","George","P1","No","MAV",2016-05-05,2016-05-07,2016-05-02,2016-05-01,2016-05-01
"IR8","dwell",1,1,"IR8","Retail Support","Lamar","Other","George","P1","No","MAV",2016-05-05,2016-05-07,2016-05-02,2016-05-01,2016-05-01
"IR8","life",1,1,"IR8","Retail Support","Lamar","Other","George","P1","No","MAV",2016-05-05,2016-05-07,2016-05-02,2016-05-01,2016-05-01
"IR8","running",1,1,"IR8","Retail Support","Lamar","Other","George","P1","No","MAV",2016-05-05,2016-05-07,2016-05-02,2016-05-01,2016-05-01
"IR8","see",1,1,"IR8","Retail Support","Lamar","Other","George","P1","No","MAV",2016-05-05,2016-05-07,2016-05-02,2016-05-01,2016-05-01
"IR8","stars",1,1,"IR8","Retail Support","Lamar","Other","George","P1","No","MAV",2016-05-05,2016-05-07,2016-05-02,2016-05-01,2016-05-01
"IR8","watch",1,1,"IR8","Retail Support","Lamar","Other","George","P1","No","MAV",2016-05-05,2016-05-07,2016-05-02,2016-05-01,2016-05-01
"IR9","events",1,1,"IR9","Retail Support","Lamar","Lane Frozen","Hannah","P2","No","WSP",2016-09-14,2016-09-17,2016-09-12,2016-09-11,2016-09-01
"IR9","find",1,1,"IR9","Retail Support","Lamar","Lane Frozen","Hannah","P2","No","WSP",2016-09-14,2016-09-17,2016-09-12,2016-09-11,2016-09-01
"IR9","mind",1,1,"IR9","Retail Support","Lamar","Lane Frozen","Hannah","P2","No","WSP",2016-09-14,2016-09-17,2016-09-12,2016-09-11,2016-09-01
"IR9","outside",1,1,"IR9","Retail Support","Lamar","Lane Frozen","Hannah","P2","No","WSP",2016-09-14,2016-09-17,2016-09-12,2016-09-11,2016-09-01
"IR9","power",1,1,"IR9","Retail Support","Lamar","Lane Frozen","Hannah","P2","No","WSP",2016-09-14,2016-09-17,2016-09-12,2016-09-11,2016-09-01
"IR9","realize",1,1,"IR9","Retail Support","Lamar","Lane Frozen","Hannah","P2","No","WSP",2016-09-14,2016-09-17,2016-09-12,2016-09-11,2016-09-01
"IR9","strength",1,1,"IR9","Retail Support","Lamar","Lane Frozen","Hannah","P2","No","WSP",2016-09-14,2016-09-17,2016-09-12,2016-09-11,2016-09-01
"IR9","will",1,1,"IR9","Retail Support","Lamar","Lane Frozen","Hannah","P2","No","WSP",2016-09-14,2016-09-17,2016-09-12,2016-09-11,2016-09-01
"IR10","depends",1,1,"IR10","Retail Payments","Sunset Valley","Tax Issue","Kelly","P4","No","BRL",2016-11-08,2016-11-10,2016-11-06,2016-11-06,2016-11-01
"IR10","happiness",1,1,"IR10","Retail Payments","Sunset Valley","Tax Issue","Kelly","P4","No","BRL",2016-11-08,2016-11-10,2016-11-06,2016-11-06,2016-11-01
"IR10","life",1,1,"IR10","Retail Payments","Sunset Valley","Tax Issue","Kelly","P4","No","BRL",2016-11-08,2016-11-10,2016-11-06,2016-11-06,2016-11-01
"IR10","quality",1,1,"IR10","Retail Payments","Sunset Valley","Tax Issue","Kelly","P4","No","BRL",2016-11-08,2016-11-10,2016-11-06,2016-11-06,2016-11-01
"IR10","thoughts",1,1,"IR10","Retail Payments","Sunset Valley","Tax Issue","Kelly","P4","No","BRL",2016-11-08,2016-11-10,2016-11-06,2016-11-06,2016-11-01
"IR10","upon",1,1,"IR10","Retail Payments","Sunset Valley","Tax Issue","Kelly","P4","No","BRL",2016-11-08,2016-11-10,2016-11-06,2016-11-06,2016-11-01
"IR11","everything",2,1,"IR11","Retail Payments","Sunset Valley","Credit Card Issue","Laura","P2","No","ORT",2017-02-03,2017-02-13,2017-01-29,2017-01-28,2017-02-01
"IR11","fact",1,1,"IR11","Retail Payments","Sunset Valley","Credit Card Issue","Laura","P2","No","ORT",2017-02-03,2017-02-13,2017-01-29,2017-01-28,2017-02-01
