"","ID","Created","FirstAssigned","Resolved","Support.Group","Store","Classification","Assigned.To","Priority","Num.Assigns","Reopened","Title","Location","Created.Date","Resolved.Date","Time.To.Response","Days.To.Resolve","Time.To.Restore.Service","Assigned.To.Resolve","Created.Week","Created.Week2","Created.Month","able","accept","act","alive","always","anger","another","anxiety","anything","apple","arguing","arise","arm","ask","bear","beauty","becomes","begin","beginning","best","binds","bitter","blames","brings","broken","card","carrying","cash","causes","change","colour","consequences","continues","corpse","coupon","credit","criticisms","criticize","day","death","deception","depends","disappears","disloyalty","distressed","disturb","due","dwell","dyed","enemy","enjoy","epictetus","escape","estimate","events","ever","every","everything","evil","external","face","fact","fate","fault","fear","feel","find","finding","first","following","fortune","freezing","frozen","future","gains","going","good","grievous","hangs","happily","happiness","happy","harmed","hates","hear","heart","hold","holy","ignorance","ill","ingratitude","injury","insane","inside","insolence","interference","just","keep","keeps","know","lane","less","let","life","like","little","live","loading","look","love","loves","majority","make","man","meet","meeting","men","mind","mine","misfortune","moment","morning","much","nearly","need","needed","neighbour","never","object","offenders","often","one","oneself","opinion","others","outside","pain","particular","pay","penetrate","people","performed","person","perspective","power","present","privilege","quality","question","r10","racked","ranks","realize","reason","register","reject","remember","resembles","rest","revenge","revoke","right","rule","running","say","says","scale","screen","second","see","seek","self","selfishness","sense","sets","shall","show","side","similar","someone","sort","soul","souls","source","spirit","spring","stars","strength","stuck","telling","tempts","ten","thing","thingerjig","things","think","thinking","thinks","thou","thoughts","thousand","thyself","time","today","together","true","truly","truth","try","unlike","untroubled","upon","use","used","value","voice","waste","watch","way","weapons","well","whenever","will","wilt","within","won","wondered","working","worthily","years","yet"
"1","IR1",2016-08-08 02:54:00,2016-08-09 00:12:00,2016-08-14 22:07:00,"Help Desk","Lamar","Permission Request","Diego","P2",3,"Yes","R10 lane is frozen. Stuck on loading screen","MAV",2016-08-08,2016-08-15,21.3,163.216666666667,163.216666666667,141.916666666667,2016-08-08,2016-08-07,2016-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","IR2",2017-02-05 12:57:00,2017-02-06 06:20:00,2017-02-14 18:43:00,"Retail Support","Wells Branch","Scale Broken","Frank","P3",2,"No","cash register not working","WSP",2017-02-05,2017-02-15,17.3833333333333,221.766666666667,221.766666666667,204.383333333333,2017-01-29,2017-02-04,2017-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"3","IR3",2016-07-04 19:16:00,2016-07-04 22:27:00,2016-07-07 20:42:00,"Retail Payments","Lamar","Tax Issue","Kelly","P4",4,"No","lane is down. The lane won't do the thingerjig","BRL",2016-07-05,2016-07-08,3.18333333333333,73.4333333333333,73.4333333333333,70.25,2016-07-04,2016-07-03,2016-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"4","IR4",2016-11-02 07:21:00,2016-11-02 10:07:00,2016-11-02 17:03:00,"Retail Payments","Hyde Park","Tax Issue","Joy","P2",3,"No","apple pay not working","ORT",2016-11-02,2016-11-02,2.76666666666667,9.7,9.7,6.93333333333333,2016-10-31,2016-10-30,2016-11-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"5","IR5",2016-10-29 10:27:00,2016-10-29 13:08:00,2016-10-31 00:26:00,"Help Desk","Downtown","Permission Request","Bob","P1",1,"No","apple pay register won't accept credit card","NLB",2016-10-29,2016-10-31,2.68333333333333,37.9833333333333,37.9833333333333,35.3,2016-10-24,2016-10-23,2016-10-01,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"6","IR6",2017-02-27 20:07:00,2017-02-27 22:41:00,2017-03-04 02:41:00,"Help Desk","Wells Branch","Email","Diego","P2",1,"No","lane keeps freezing up when we try to use coupon","GWS",2017-02-28,2017-03-04,2.56666666666667,102.566666666667,102.566666666667,100,2017-02-26,2017-02-25,2017-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","IR7",2016-06-29 22:24:00,2016-07-01 09:51:00,2016-07-09 21:52:00,"Retail Payments","Downtown","Credit Card Issue","Joy","P2",3,"No","scale broken","MAD",2016-06-30,2016-07-10,35.45,239.466666666667,239.466666666667,204.016666666667,2016-06-27,2016-06-26,2016-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","IR8",2016-05-05 01:38:00,2016-05-05 14:53:00,2016-05-07 02:04:00,"Retail Support","Lamar","Other","George","P1",2,"No","“Dwell on the beauty of life. Watch the stars, and see yourself running with them.” ","MAV",2016-05-05,2016-05-07,13.25,48.4333333333333,48.4333333333333,35.1833333333333,2016-05-02,2016-05-01,2016-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","IR9",2016-09-14 09:08:00,2016-09-15 05:43:00,2016-09-17 12:43:00,"Retail Support","Lamar","Lane Frozen","Hannah","P2",4,"No","“You have power over your mind - not outside events. Realize this, and you will find strength.” ","WSP",2016-09-14,2016-09-17,20.5833333333333,75.5833333333333,75.5833333333333,55,2016-09-12,2016-09-11,2016-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"10","IR10",2016-11-08 03:43:00,2016-11-08 07:19:00,2016-11-10 13:53:00,"Retail Payments","Sunset Valley","Tax Issue","Kelly","P4",3,"No","“The happiness of your life depends upon the quality of your thoughts.” ","BRL",2016-11-08,2016-11-10,3.6,58.1666666666667,58.1666666666667,54.5666666666667,2016-11-06,2016-11-06,2016-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
